cell_size,N,k,time
0.01,1000,1,0.00028415019623935224
0.01,1000,5,0.00013705842429772018
0.01,1000,10,0.00024390820180997252
0.01,1000,50,0.0005622831988148392
0.01,1000,100,0.0016241585952229797
0.01,1000,500,0.013904008409008383
0.01,10000,1,0.0005813747877255083
0.01,10000,5,0.0006256917840801179
0.01,10000,10,0.0008645667927339673
0.01,10000,50,0.0007944665965624153
0.01,10000,100,0.0009771750075742603
0.01,10000,500,0.005322199792135507
0.01,100000,1,0.0007656665868125856
0.01,100000,5,0.00022148339776322245
0.01,100000,10,0.0005158416111953557
0.01,100000,50,0.0010750081855803728
0.01,100000,100,0.0011613748036324977
0.01,100000,500,0.007595733390189707
0.01,825171,1,0.009140950185246766
0.01,825171,5,0.00869855002965778
0.01,825171,10,0.00729765840806067
0.01,825171,50,0.017223058186937125
0.01,825171,100,0.002263624779880047
0.01,825171,500,0.020705891598481685
0.05,1000,1,0.0008331415941938758
0.05,1000,5,0.0009695832035504281
0.05,1000,10,0.0006569747813045979
0.05,1000,50,0.0009114835993386805
0.05,1000,100,0.0013014916214160622
0.05,1000,500,0.007548850181046873
0.05,10000,1,0.0038448331994004547
0.05,10000,5,0.005010207986924797
0.05,10000,10,0.005732733418699354
0.05,10000,50,0.0036026333924382924
0.05,10000,100,0.002907616610173136
0.05,10000,500,0.007257958385162055
0.05,100000,1,0.001508150203153491
0.05,100000,5,0.003513575007673353
0.05,100000,10,0.0065573582076467575
0.05,100000,50,0.00145158302038908
0.05,100000,100,0.0016533671994693577
0.05,100000,500,0.005446274799760431
0.05,825171,1,0.12378902500495315
0.05,825171,5,0.07865495801670477
0.05,825171,10,0.09510124978842213
0.05,825171,50,0.016677066800184548
0.05,825171,100,0.05630557518452406
0.05,825171,500,0.03909698340576142
0.1,1000,1,0.0012578999972902238
0.1,1000,5,0.0015621170052327216
0.1,1000,10,0.0010138248093426228
0.1,1000,50,0.0013075163937173785
0.1,1000,100,0.002042433188762516
0.1,1000,500,0.00784226639661938
0.1,10000,1,0.009435124776791782
0.1,10000,5,0.004359716607723385
0.1,10000,10,0.010531791800167412
0.1,10000,50,0.005598025000654161
0.1,10000,100,0.007914375211112202
0.1,10000,500,0.0069707002025097605
0.1,100000,1,0.0059295668033882976
0.1,100000,5,0.003584783396217972
0.1,100000,10,0.004989667003974319
0.1,100000,50,0.015443383413366974
0.1,100000,100,0.007682575203943998
0.1,100000,500,0.00558178338687867
0.1,825171,1,0.324310649803374
0.1,825171,5,0.3057631085859612
0.1,825171,10,0.22262377521255985
0.1,825171,50,0.19775040819076822
0.1,825171,100,0.4251461415900849
0.1,825171,500,0.19916880840901285
0.2,1000,1,0.0018654999905265868
0.2,1000,5,0.0022924418095499276
0.2,1000,10,0.0016680664033629
0.2,1000,50,0.0013975334004499018
0.2,1000,100,0.0022438418120145796
0.2,1000,500,0.003011424595024437
0.2,10000,1,0.011050924798473716
0.2,10000,5,0.010383916599676014
0.2,10000,10,0.014541249792091548
0.2,10000,50,0.008965791610535234
0.2,10000,100,0.007663791405502707
0.2,10000,500,0.01362961659906432
0.2,100000,1,0.017204633401706814
0.2,100000,5,0.046176558407023546
0.2,100000,10,0.010808808205183595
0.2,100000,50,0.026753000204917044
0.2,100000,100,0.02884080820949748
0.2,100000,500,0.06296015821862966
0.2,825171,1,0.6065990169998259
0.2,825171,5,0.4542945995926857
0.2,825171,10,0.35782115841284395
0.2,825171,50,0.4603856498026289
0.2,825171,100,0.44820645841537043
0.2,825171,500,0.30384005841333417
